id,name,slopeLevel,completed
6736,Open Park - Ligne Experts,BLACK,
6735,Open Park - Ligne Intermédiaires,RED,
6973,Lou,BLUE,
6955,Moriond - Natural Canyon,BLUE,
6954,Moriond - Western Ski Park,GREEN,
7172,Funny Run - Bump'N'Jump,GREEN,
7162,Speedy Run - Bump'N'Jump,RED,
7173,Bumpy Run - Bump'N'Jump,GREEN,
7166,Couloir Tournier Vertical Xperience,BLACK,
7163,Piste Des Animaux,GREEN,
7164,Piste Des Inuits,GREEN,
